,preferred_position,relevant_attributes
0,GOALKEEPER,"['progressive_passes', 'goalkick_accuracy', 'successful_goalkeeper_throws', 'successful_handling', 'successful_punches','total_saves_completed']"
1,CENTER BACK,"['succ_interception', 'possession_retained', 'crucial_defensive_actions', 'ground_duels', 'successful_aerial_duels', 'successful_tackles', 'progressive_passes', 'successful_short_passes', 'successful_long_passes', 'successful_headed_shots']"
2,LEFT SIDE BACK,"['succ_interception', 'crucial_defensive_actions', 'successful_tackles', 'successful_crosses', 'ground_duels', 'successful_aerial_duels', 'successful_long_passes', 'successful_short_passes']"
3,RIGHT SIDE BACK,"['succ_interception', 'crucial_defensive_actions', 'successful_tackles', 'successful_crosses', 'ground_duels', 'successful_aerial_duels', 'successful_long_passes', 'successful_short_passes']"
4,DEFENSIVE MIDFIELDER,"['possession_retained', 'succ_interception', 'ground_duels', 'successful_aerial_duels', 'successful_tackles', 'successful_forward_passes', 'successful_long_passes', 'successful_short_passes']"
5,CENTRAL MIDFIELDER,"['total_assists', 'possession_retained', 'progressive_passes', 'successful_long_passes', 'successful_short_passes', 'chances_created', 'attempts_on_target', 'total_long_shot_on_target']"
6,LEFT WINGER,"['goals_from_long_shot', 'goals_from_close_shot', 'total_assists', 'attempts_on_target', 'total_dribbles_completed', 'chances_created', 'total_successful_touches_count_in_final_third', 'total_passes_completed_in_final_third', 'successful_crosses']"
7,RIGHT WINGER,"['goals_from_long_shot', 'goals_from_close_shot', 'total_assists', 'attempts_on_target', 'total_dribbles_completed', 'chances_created', 'total_successful_touches_count_in_final_third', 'total_passes_completed_in_final_third', 'successful_crosses']"
8,ATTACKING MIDFIELDER,"['goals_from_long_shot', 'goals_from_close_shot', 'total_assists', 'progressive_passes', 'successful_short_passes', 'attempts_on_target', 'chances_created', 'total_dribbles_completed', 'successful_through_ball', 'total_long_shot_on_target']"
9,CENTER FORWARD,"['goals_from_long_shot', 'goals_from_close_shot', 'total_assists', 'attempts_on_target', 'total_dribbles_completed', 'chances_created', 'total_successful_touches_count_in_final_third', 'total_passes_completed_in_final_third']"
10,STRIKER,"['goals_from_long_shot', 'goals_from_close_shot', 'total_assists', 'attempts_on_target', 'total_dribbles_completed', 'chances_created', 'total_successful_touches_count_in_final_third', 'total_passes_completed_in_final_third']"
11,LEFT FORWARD,"['goals_from_long_shot', 'goals_from_close_shot', 'total_assists', 'attempts_on_target', 'total_dribbles_completed', 'chances_created', 'total_successful_touches_count_in_final_third', 'total_passes_completed_in_final_third']"
12,RIGHT FORWARD,"['goals_from_long_shot', 'goals_from_close_shot', 'total_assists', 'attempts_on_target', 'total_dribbles_completed', 'chances_created', 'total_successful_touches_count_in_final_third', 'total_passes_completed_in_final_third']"
13,LEFT WING BACK,"['succ_interception', 'crucial_defensive_actions', 'successful_tackles', 'successful_crosses', 'ground_duels', 'successful_aerial_duels', 'successful_long_passes', 'successful_short_passes']"
14,RIGHT WING BACK,"['succ_interception', 'crucial_defensive_actions', 'successful_tackles', 'successful_crosses', 'ground_duels', 'successful_aerial_duels', 'successful_long_passes', 'successful_short_passes']"
