user id,user name,team name,preferred position,preferred position most played,jersey number,total_game_time,Succ Interceptions,Succ Interceptions Per 90,Total Possession retained,Possession Retained Per 90,Possession Retention Contribution,Crucial defensive actions,Crucial defensive actions Per 90,Succ Tackles,Succ Tackles Per 90,Tackle Accuracy,Total Pressure Attempted,Total Pressure Attempted Per 90,Pressure Contribution,Succ Ground duels,Ground Duels Per 90,Ground Duel Win rate,Succ Aerial duels,Ariel Duels Per 90,Aerial Duel Win rate,Succ Short pass,Short Passes Per 90,Short Pass Accuracy,Succ Long pass,Long Passes Per 90,Long Pass Accuracy,Succ Through Ball,Through Balls Per 90,Through Ball Accuracy,Succ Crosses,Crosses Per 90,Crossing Accuracy,Total Forward Passes,Total Forward Passes Per 90,Forward Pass Accuracy,Progressive passes,Progressive passes Per 90,Total Passes completed in final third,Passes completed in final third per 90,Total Progressive Passes received in final third,Progressive Passes received in final third per 90,Total Touches in final third,Touches in final third per 90,Total Successful Toches in final third,Successful Touches in final third per 90,Chances Created,Chances Created Per 90,Chance creation contribution,Total Assists,Total Assists Per 90,Total dribbles completed,Dribbles Completed Per 90,Total close shots on target,Total close shots on target Per 90,Close shot accuracy,Total Long Shot on target,Total Long Shot on target Per 90,Long Shot Accuracy,Total Headed shots on target,Total Headed shots on target Per 90,Attempts On Target Per 90,Headed shot accuracy,Goals from Close shot,Goals from Close shot Per 90,Goals from long shot,Goals from long shot Per 90,Maximum Sense Score,Minimum Sense Score,Average Sense Score,Maximum PP Score,Minimum PP Score,Absolute Score,Preferred Position Score,Overall Preferred Position Score,Total Saves,Goal Conceded,Goalkick Accuracy,Goalkeeper Throws Completed,Handling,Punches,Clearances,Successful Ball Carry Per 90,Ball Carry Accuracy,Goals from headed shot,Goals from headed shot Per 90
10231,Anil Rawat,Rebels FC,"['LEFT WINGER', 'LEFT SIDE BACK', 'CENTER BACK', 'RIGHT WING BACK']",CENTER BACK,['3'],1236,88,6.40776699,113,8.22815534,13.93341554,39,2.839805825,25,1.82038835,62.5,4,0.291262136,7.272727273,3,0.218446602,42.85714286,20,1.45631068,51.28205128,287,20.89805825,83.43023256,0,0,0,64,4.660194175,55.17241379,0,0,0,188,13.68932039,65.73426573,79,5.752427184,75,5.461165049,4,0.291262136,128,9.32038835,61,4.441747573,4,0.291262136,4.705882353,0,0,5,0.36407767,1,0.072815534,20,0,0,0,0,0,0.072815534,0,0,0,0,0,14.17,4.07,8.243333333,9.26,2.5,61.35,4.793333333,4.37,1,0,40,0,1,0,88,2.694174757,100,0,0
10232,Sajjad Hingora,Rebels FC,"['CENTER BACK', 'RIGHT MIDFIELDER']",CENTER BACK,['21'],188,6,2.872340426,8,3.829787234,4.848484848,1,0.478723404,1,0.478723404,50,1,0.478723404,2.941176471,1,0.478723404,33.33333333,0,0,0,43,20.58510638,93.47826087,0,0,0,4,1.914893617,57.14285714,0,0,0,32,15.31914894,84.21052632,7,3.35106383,0,0,1,0.478723404,5,2.393617021,2,0.957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0.44,4.973333333,2.89,0,4.35,1.89,2.39,0,0,0,0,0,0,7,0.478723404,100,0,0
10233,Bibin Babu,Rebels FC,"['ATTACKING MIDFIELDER', 'LEFT WINGER', 'LEFT MIDFIELDER', 'STRIKER', 'RIGHT FORWARD', 'CENTRAL MIDFIELDER']",ATTACKING MIDFIELDER,['11'],1305,34,2.344827586,63,4.344827586,7.80669145,0,0,29,2,56.8627451,4,0.275862069,7.142857143,6,0.413793103,66.66666667,3,0.206896552,17.64705882,380,26.20689655,86.36363636,9,0.620689655,33.33333333,72,4.965517241,63.71681416,12,0.827586207,36.36363636,160,11.03448276,59.70149254,69,4.75862069,585,40.34482759,27,1.862068966,516,35.5862069,332,22.89655172,17,1.172413793,16.50485437,1,0.068965517,37,2.551724138,10,0.689655172,71.42857143,12,0.827586207,41.37931034,1,0.068965517,1.586206897,50,3,0.206896552,1,0.068965517,16.63,5.13,9.532666667,14.08,0,87.15,6.590666667,8.65,0,0,100,0,0,0,1,7.379310345,100,0,0
10234,Vishnu Rajesh K,Rebels FC,"['LEFT SIDE BACK', 'RIGHT WING BACK', 'LEFT WINGER', 'RIGHT WINGER']",LEFT SIDE BACK,['12'],946,34,3.234672304,46,4.376321353,5.997392438,6,0.570824524,12,1.141649049,85.71428571,2,0.190274841,3.571428571,2,0.190274841,50,1,0.095137421,10,164,15.602537,82.82828283,1,0.095137421,100,6,0.570824524,23.07692308,8,0.761099366,19.51219512,50,4.756871036,44.24778761,13,1.236786469,190,18.07610994,46,4.376321353,297,28.25581395,203,19.31289641,6,0.570824524,7.407407407,1,0.095137421,12,1.141649049,1,0.095137421,50,0,0,0,0,0,0.095137421,0,0,0,0,0,8.24,2.44,5.413571429,5.25,1.25,32.41,3.418571429,3.18,0,0,0,0,0,0,20,3.234672304,100,0,0
10235,Pradeep R,Rebels FC,"['CENTRAL MIDFIELDER', 'DEFENSIVE MIDFIELDER', 'ATTACKING MIDFIELDER', 'LEFT WINGER']",CENTRAL MIDFIELDER,['9'],1015,22,1.950738916,37,3.280788177,4.817708333,4,0.354679803,14,1.24137931,63.63636364,8,0.709359606,17.0212766,5,0.443349754,41.66666667,2,0.177339901,20,303,26.86699507,89.64497041,7,0.620689655,46.66666667,106,9.399014778,71.62162162,11,0.975369458,29.72972973,185,16.40394089,68.01470588,87,7.714285714,440,39.01477833,3,0.266009852,275,24.38423645,162,14.36453202,10,0.886699507,10,0,0,20,1.773399015,1,0.088669951,50,3,0.266009852,30,0,0,0.354679803,0,0,0,1,0.088669951,16.64,4,11.05142857,12.98,4,89.03,9.06,10.26,0,0,0,0,0,0,14,7.714285714,100,0,0
10236,Prananjay Singh,Rebels FC,"['ATTACKING MIDFIELDER', 'DEFENSIVE MIDFIELDER', 'CENTRAL MIDFIELDER']",DEFENSIVE MIDFIELDER,"['30', '9']",297,10,3.03030303,16,4.848484848,7.373271889,1,0.303030303,6,1.818181818,66.66666667,0,0,0,2,0.606060606,50,0,0,0,72,21.81818182,84.70588235,2,0.606060606,66.66666667,13,3.939393939,92.85714286,0,0,0,33,10,75,10,3.03030303,45,13.63636364,1,0.303030303,47,14.24242424,24,7.272727273,1,0.303030303,6.666666667,0,0,1,0.303030303,1,0.303030303,100,1,0.303030303,25,0,0,0.606060606,0,0,0,0,0,11.31,0.36,6.885,11.31,0.23,17.75,5.8625,5.52,0,0,0,0,0,0,3,0,0,0,0
10237,Sameer Prasad,Rebels FC,"['STRIKER', 'RIGHT WINGER', 'LEFT FORWARD', 'CENTER FORWARD']",RIGHT WINGER,"['10', '11']",985,11,1.005076142,21,1.918781726,2.834008097,3,0.274111675,9,0.822335025,47.36842105,5,0.456852792,9.259259259,6,0.54822335,37.5,6,0.54822335,31.57894737,133,12.15228426,83.125,2,0.182741117,50,7,0.639593909,63.63636364,0,0,0,28,2.558375635,53.84615385,8,0.730964467,185,16.9035533,33,3.015228426,328,29.96954315,196,17.90862944,9,0.822335025,9.89010989,0,0,9,0.822335025,6,0.54822335,50,1,0.091370558,16.66666667,0,0,0.639593909,0,1,0.091370558,0,0,7.81,1.49,4.481538462,5.19,0.42,21.54,2.269230769,2.46,0,0,0,0,0,0,5,3.92893401,100,0,0
10241,Milind Negi,Rebels FC,"['CENTER BACK', 'LEFT MIDFIELDER']",CENTER BACK,['15'],200,11,4.95,14,6.3,8.484848485,2,0.9,3,1.35,100,0,0,0,3,1.35,100,3,1.35,100,46,20.7,88.46153846,0,0,0,10,4.5,83.33333333,0,0,0,29,13.05,74.35897436,11,4.95,5,2.25,0,0,9,4.05,3,1.35,0,0,0,0,0,1,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,0,5.236666667,3.89,0,6.85,2.536666667,3.42,0,0,0,0,0,0,6,0.45,100,0,0
10242,Pavan S,Rebels FC,"['LEFT SIDE BACK', 'RIGHT SIDE BACK', 'RIGHT WING BACK', 'DEFENSIVE MIDFIELDER', 'CENTER BACK']",RIGHT SIDE BACK,['16'],1313,51,3.49581112,84,5.75780655,10.33210332,25,1.713632902,32,2.193450114,68.08510638,3,0.205635948,5.357142857,3,0.205635948,37.5,3,0.205635948,25,301,20.63214014,87.24637681,1,0.068545316,100,55,3.769992384,50.92592593,6,0.411271896,30,162,11.1043412,62.06896552,68,4.661081493,190,13.02361005,9,0.616907845,219,15.01142422,106,7.265803503,9,0.616907845,9.183673469,0,0,7,0.479817212,0,0,0,1,0.068545316,50,0,0,0.068545316,0,0,0,0,0,11.47,0,7.334666667,7.57,0,56,4.26,4.44,0,0,0,0,0,0,33,2.741812643,100,0,0
10243,Tharun S,Rebels FC,"['RIGHT WINGER', 'CENTER FORWARD', 'CENTRAL MIDFIELDER', 'LEFT WINGER', 'ATTACKING MIDFIELDER', 'LEFT SIDE BACK', 'LEFT WING BACK']",LEFT SIDE BACK,['22'],993,48,4.350453172,67,6.072507553,9.490084986,17,1.540785498,19,1.722054381,52.77777778,3,0.271903323,5.555555556,2,0.181268882,25,2,0.181268882,22.22222222,223,20.21148036,86.43410853,1,0.090634441,50,46,4.16918429,68.65671642,3,0.271903323,33.33333333,111,10.06042296,68.09815951,47,4.259818731,145,13.14199396,5,0.453172205,146,13.2326284,98,8.882175227,6,0.543806647,6.52173913,1,0.090634441,10,0.906344411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,6.635,10.02,0,47.8,4.307857143,4.96,1,0,0,0,1,0,12,5.166163142,100,0,0
