user id,user name,team name,preferred position,preferred position most played,jersey number,total_game_time,Succ Interceptions,Succ Interceptions Per 90,Total Possession retained,Possession Retained Per 90,Possession Retention Contribution,Crucial defensive actions,Crucial defensive actions Per 90,Succ Tackles,Succ Tackles Per 90,Tackle Accuracy,Total Pressure Attempted,Total Pressure Attempted Per 90,Pressure Contribution,Succ Ground duels,Ground Duels Per 90,Ground Duel Win rate,Succ Aerial duels,Ariel Duels Per 90,Aerial Duel Win rate,Succ Short pass,Short Passes Per 90,Short Pass Accuracy,Succ Long pass,Long Passes Per 90,Long Pass Accuracy,Succ Through Ball,Through Balls Per 90,Through Ball Accuracy,Succ Crosses,Crosses Per 90,Crossing Accuracy,Total Forward Passes,Total Forward Passes Per 90,Forward Pass Accuracy,Progressive passes,Progressive passes Per 90,Total Passes completed in final third,Passes completed in final third per 90,Total Progressive Passes received in final third,Progressive Passes received in final third per 90,Total Touches in final third,Touches in final third per 90,Total Successful Toches in final third,Successful Touches in final third per 90,Chances Created,Chances Created Per 90,Chance creation contribution,Total Assists,Total Assists Per 90,Total dribbles completed,Dribbles Completed Per 90,Total close shots on target,Total close shots on target Per 90,Close shot accuracy,Total Long Shot on target,Total Long Shot on target Per 90,Long Shot Accuracy,Total Headed shots on target,Total Headed shots on target Per 90,Attempts On Target Per 90,Headed shot accuracy,Goals from Close shot,Goals from Close shot Per 90,Goals from long shot,Goals from long shot Per 90,Maximum Sense Score,Minimum Sense Score,Average Sense Score,Maximum PP Score,Minimum PP Score,Absolute Score,Preferred Position Score,Overall Preferred Position Score,Total Saves,Goal Conceded,Goalkick Accuracy,Goalkeeper Throws Completed,Handling,Punches,Clearances,Successful Ball Carry Per 90,Ball Carry Accuracy,Goals from headed shot,Goals from headed shot Per 90
10255,Deepak Saravanan,South United FC,['GOALKEEPER'],GOALKEEPER,['30'],1016,2,0.177165354,2,0.177165354,0.318471338,2,0.177165354,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.088582677,16.66666667,126,11.16141732,100.0,0,0.0,0.0,74,6.55511811,44.57831325,0,0.0,0.0,141,12.49015748,60.51502146,90,7.972440945,5,0.442913386,0,0.0,28,2.480314961,6,0.531496063,1,0.088582677,0.847457627,0,0.0,1,0.088582677,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,11.7,4.47,8.72,11.7,3.57,87.51,8.62,8.39,123,13,88.0952381,57,78,45,24,0.62007874,100,0,0.0
10254,Suraj,South United FC,['CENTER BACK'],CENTER BACK,['27'],1476,69,4.207317073,100,6.097560976,10.68376068,41,2.5,28,1.707317073,71.79487179,4,0.243902439,10.25641026,4,0.243902439,44.44444444,30,1.829268293,65.2173913,304,18.53658537,89.14956012,1,0.06097561,100.0,174,10.6097561,67.18146718,0,0.0,0.0,268,16.34146341,69.43005181,164,10.0,190,11.58536585,5,0.304878049,157,9.573170732,83,5.06097561,3,0.182926829,1.785714286,0,0.0,2,0.12195122,1,0.06097561,100.0,0,0.0,0.0,2,0.12195122,0.182926829,33.33333333,0,0.0,0,0.0,14.62,5.66,9.43875,6.61,2.47,61.05,4.14125,4.23,0,0,0.0,0,0,0,82,2.804878049,100,0,0.0
10253,Mohammed Rasheed,South United FC,"['LEFT SIDE BACK', 'RIGHT SIDE BACK', 'RIGHT WING BACK']",LEFT SIDE BACK,['26'],809,31,3.448702101,54,6.007416564,9.262435678,17,1.891223733,21,2.336217553,77.77777778,2,0.22249691,5.555555556,6,0.667490729,54.54545455,21,2.336217553,80.76923077,194,21.58220025,89.81481481,2,0.22249691,100.0,47,5.228677379,71.21212121,6,0.667490729,37.5,102,11.3473424,73.38129496,46,5.117428925,180,20.02472188,8,0.889987639,187,20.80346106,127,14.12855377,4,0.44499382,3.305785124,0,0.0,9,1.001236094,0,0.0,0.0,2,0.22249691,40.0,0,0.0,0.22249691,0.0,0,0.0,0,0.0,10.77,4.2,7.845,8.11,2.4,37.57,4.495,4.48,0,0,0.0,0,0,0,32,2.558714462,100,0,0.0
10252,Edwin Rossario,South United FC,"['CENTRAL MIDFIELDER', 'DEFENSIVE MIDFIELDER', 'ATTACKING MIDFIELDER']",CENTRAL MIDFIELDER,"['22', '20']",1326,58,3.936651584,99,6.719457014,10.57692308,11,0.746606335,38,2.57918552,64.40677966,4,0.271493213,10.25641026,5,0.339366516,33.33333333,18,1.221719457,51.42857143,430,29.18552036,86.17234469,12,0.814479638,52.17391304,99,6.719457014,65.56291391,10,0.678733032,41.66666667,208,14.11764706,65.0,87,5.904977376,730,49.54751131,15,1.018099548,366,24.84162896,259,17.57918552,22,1.49321267,13.0952381,3,0.20361991,9,0.610859729,1,0.067873303,20.0,3,0.20361991,37.5,0,0.0,0.271493213,0.0,1,0.067873303,0,0.0,17.52,5.81,10.660625,17.52,5.62,133.63,10.166875,11.54,0,0,0.0,0,0,0,17,3.936651584,100,0,0.0
10251,Sapam Sing,South United FC,"['CENTER BACK', 'RIGHT SIDE BACK', 'ATTACKING MIDFIELDER', 'CENTRAL MIDFIELDER']",CENTER BACK,['19'],301,18,5.382059801,20,5.980066445,8.928571429,1,0.299003322,1,0.299003322,20.0,1,0.299003322,5.555555556,1,0.299003322,33.33333333,2,0.598006645,33.33333333,79,23.62126246,82.29166667,0,0.0,0.0,31,9.26910299,73.80952381,1,0.299003322,50.0,58,17.34219269,70.73170732,23,6.877076412,55,16.44518272,1,0.299003322,28,8.372093023,17,5.083056478,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,20.87,5.49,11.265,14.97,2.78,14.71,6.54,3.27,0,0,0.0,0,0,0,18,5.681063123,100,0,0.0
10250,Magminlal Vaiphei,South United FC,"['CENTRAL MIDFIELDER', 'RIGHT MIDFIELDER', 'LEFT MIDFIELDER']",CENTRAL MIDFIELDER,['17'],1285,41,2.871595331,74,5.182879377,7.905982906,7,0.490272374,32,2.241245136,71.11111111,2,0.140077821,5.128205128,3,0.210116732,20.0,1,0.070038911,11.11111111,352,24.6536965,88.88888889,2,0.140077821,28.57142857,74,5.182879377,80.43478261,1,0.070038911,25.0,152,10.6459144,75.62189055,53,3.712062257,340,23.81322957,3,0.210116732,189,13.23735409,132,9.245136187,5,0.350194553,2.976190476,1,0.070038911,6,0.420233463,1,0.070038911,50.0,1,0.070038911,16.66666667,0,0.0,0.140077821,0.0,0,0.0,0,0.0,13.0,4.48,8.7275,12.51,4.48,102.81,8.345,8.7,0,0,0.0,0,0,0,14,1.821011673,100,0,0.0
10249,U K Surya,South United FC,"['LEFT WINGER', 'LEFT MIDFIELDER', 'CENTRAL MIDFIELDER', 'RIGHT WINGER', 'LEFT WING BACK', 'CENTER FORWARD']",LEFT WINGER,"['16', '10']",478,19,3.577405858,27,5.083682008,4.560810811,2,0.376569038,8,1.506276151,72.72727273,1,0.188284519,2.777777778,1,0.188284519,20.0,1,0.188284519,25.0,110,20.71129707,78.57142857,3,0.564853556,60.0,9,1.694560669,45.0,4,0.753138075,25.0,40,7.531380753,51.94805195,10,1.882845188,180,33.89121339,21,3.953974895,235,44.24686192,152,28.61924686,9,1.694560669,8.181818182,0,0.0,7,1.317991632,2,0.376569038,40.0,0,0.0,0.0,0,0.0,0.376569038,0.0,0,0.0,0,0.0,17.39,2.69,7.65,14.48,0.69,21.09,5.204,3.69,0,0,0.0,0,0,0,1,3.012552301,100,0,0.0
10248,Thotkadhar Zimik,South United FC,"['STRIKER', 'CENTER FORWARD', 'ATTACKING MIDFIELDER']",STRIKER,"['11', '19']",508,4,0.708661417,10,1.771653543,2.028397566,0,0.0,4,0.708661417,50.0,3,0.531496063,18.75,3,0.531496063,37.5,3,0.531496063,20.0,48,8.503937008,85.71428571,0,0.0,0.0,3,0.531496063,100.0,0,0.0,0.0,12,2.125984252,80.0,4,0.708661417,100,17.71653543,19,3.366141732,165,29.23228346,89,15.76771654,6,1.062992126,8.450704225,1,0.177165354,1,0.177165354,5,0.885826772,55.55555556,1,0.177165354,50.0,2,0.354330709,1.417322835,50.0,2,0.354330709,0,0.0,5.0,2.08,3.19625,3.62,0.0,6.76,1.1925,1.21,0,0,0.0,0,0,0,2,1.062992126,100,0,0.0
10247,Magesh S,South United FC,"['ATTACKING MIDFIELDER', 'CENTER FORWARD', 'CENTRAL MIDFIELDER', 'LEFT WINGER']",ATTACKING MIDFIELDER,['10'],843,17,1.814946619,37,3.950177936,4.539877301,10,1.067615658,14,1.494661922,43.75,7,0.747330961,17.94871795,5,0.533807829,38.46153846,7,0.747330961,23.33333333,250,26.69039146,84.17508418,5,0.533807829,45.45454545,50,5.338078292,69.44444444,3,0.320284698,37.5,121,12.91814947,67.22222222,52,5.551601423,440,46.97508897,18,1.921708185,370,39.50177936,252,26.90391459,13,1.387900356,9.219858156,1,0.106761566,7,0.747330961,5,0.533807829,71.42857143,9,0.960854093,50.0,1,0.106761566,1.601423488,100.0,3,0.320284698,2,0.213523132,23.66,2.88,10.26428571,23.66,2.5,69.66,8.587142857,8.39,0,0,0.0,0,0,0,4,3.096085409,100,0,0.0
10246,Altab Husain,South United FC,"['RIGHT WINGER', 'RIGHT MIDFIELDER', 'LEFT WINGER']",RIGHT WINGER,"['7', '11']",990,23,2.090909091,57,5.181818182,7.872928177,5,0.454545455,34,3.090909091,72.34042553,1,0.090909091,3.448275862,3,0.272727273,23.07692308,7,0.636363636,24.13793103,178,16.18181818,76.06837607,1,0.090909091,25.0,13,1.181818182,61.9047619,2,0.181818182,16.66666667,41,3.727272727,54.66666667,14,1.272727273,380,34.54545455,64,5.818181818,524,47.63636364,362,32.90909091,12,1.090909091,8.053691275,0,0.0,22,2.0,5,0.454545455,25.0,1,0.090909091,11.11111111,1,0.090909091,0.636363636,25.0,1,0.090909091,1,0.090909091,7.78,3.35,6.161538462,6.37,1.44,44.11,4.314615385,4.18,0,0,0.0,0,0,0,14,7.454545455,100,1,0.090909091
